Unnamed: 0,StartDate,EndDate,Progress,Duration (in seconds),RecordedDate,ResponseId,polarization_1,polarization_2,polarization_3,polarization_4,polarization_5,polarization_6,polarization_7,polarization_8,polarization_9,polarization_10,polarization_11,polarization_12,polarization_13,polarization_14,polarization_15,polarization_16,polarization_17,polarization_18,polarization_19,polarization_20,polarization_21,polarization_22,polarization_23,polarization_24,polarization_25,polarization_26,polarization_27,polarization_28,polarization_29,polarization_30,polarization_31,polarization_32,polarization_33,polarization_34,polarization_35,polarization_36,polarization_37,polarization_38,polarization_39,polarization_40,polarization_DO,Personal_1,Personal_2,Personal_3,Personal_4_1,Personal_4_2,Personal_4_3,Personal_4_4,Personal_4_5,Personal_4_6,Personal_4_7,Personal_4_8,Personal_4_9,Personal_4_10,Personal_4_11,Personal_4_12,Personal_4_13,Personal_4_14,Personal_4_15,Personal_4_16,Personal_4_17,Personal_4_18,Personal_4_19,Personal_4_20,Personal_4_21,Personal_4_22,Personal_4_23,Personal_4_24,Personal_4_25,Personal_4_26,Personal_4_27,Personal_4_28,Personal_4_29,Personal_4_30,Personal_4_31,Personal_4_32,Personal_4_33,Personal_4_34,Personal_4_35,Personal_4_36,Personal_4_37,Personal_4_38,Personal_4_39,Personal_4_40,Personal_4_DO,Personal_5,Personal_6,Personal_7,Personal_8
89,2022-10-10 17:01:41,2022-10-10 17:03:28,85,106,2022-10-17 17:03:31,R_2R1XSCzpbXivKX4,,2,,1,,,,2,,,,,2,,,,,2,,,2,5,,,,,5,,,,,5,,,4,,,,,,8|18|13|2|27|32|35|22|4|21,22,2,2,,1,,1,,,,3,,,,,1,,,,,3,,,1,5,,,,,3,,,,,5,,,4,,,,,,8|18|13|2|27|32|35|22|4|21,2,"1,2,4,8",4,4
90,2022-10-10 17:01:33,2022-10-10 17:09:32,85,478,2022-10-17 17:09:34,R_25R5oLCQFBgQ1SM,3,2,,2,,4,,,4,4,,,,,,,,,,,,3,,,3,,,,1,,4,,,,,,,,,,10|6|31|22|4|25|29|1|2|9,24,1,3,1,1,,2,,1,,,1,1,,,,,,,,,,,,1,,,1,,,,3,,1,,,,,,,,,,10|6|31|22|4|25|29|1|2|9,3,"1,3,4",2,"2,3"
91,2022-10-10 16:56:42,2022-10-10 17:09:40,85,778,2022-10-17 17:09:44,R_1LHaWovRQSNFiwH,4,,,,,5,,,,,5,4,1,,,,,1,,4,,,,4,,,,,,,,3,,,,3,,,,,6|12|36|13|20|1|24|11|32|18,21,1,2,1,,,,,3,,,,,1,1,4,,,,,3,,2,,,,4,,,,,,,,1,,,,1,,,,,6|12|36|13|20|1|24|11|32|18,1,"1,2,3,4,5,6,7,8",4,5
92,2022-10-10 17:01:09,2022-10-10 17:10:20,85,551,2022-10-17 17:10:22,R_3qIq8bkFNpFihI6,,,,,,,,,,5,5,,4,2,,,,,,5,,5,,,,,5,,,5,,,,,,,5,,1,,37|30|39|10|11|14|27|13|22|20,21,1,3,,,,,,,,,,2,4,,3,3,,,,,,4,,5,,,,,3,,,1,,,,,,,3,,3,,37|30|39|10|11|14|27|13|22|20,3,"1,2,4",4,"4,5"
93,2022-10-10 17:02:39,2022-10-10 17:19:21,85,1002,2022-10-17 17:19:29,R_2e9h9A52as7nlP3,5,3,,,,,,,,5,,,2,3,,,1,,5,5,,,,,,,,,,5,,,,,,,4,,,,17|13|20|14|19|2|1|30|37|10,21,2,2,4,3,,,,,,,,5,,,3,3,,,4,,4,5,,,,,,,,,,4,,,,,,,2,,,,17|13|20|14|19|2|1|30|37|10,3,"1,4,5",4,5
94,2022-10-10 17:12:30,2022-10-10 17:23:02,85,632,2022-10-17 17:23:03,R_2OU9nX7mjq9fr6i,,,,,,,,4,,3,1,4,,,2,,,,,2,,,,3,,,,,,,,,,,2,2,,,4,,35|10|12|11|15|20|24|36|8|39,21,2,3,,,,,,,,3,,2,4,3,,,2,,,,,4,,,,4,,,,,,,,,,,2,4,,,3,,35|10|12|11|15|20|24|36|8|39,3,"1,2,4,5,6",4,4
95,2022-10-18 16:39:04,2022-10-18 16:52:14,100,789,2022-10-18 16:52:15,R_1OpYvDnbfOnNOkz,,,,,,,,,2,,,,,,,,,3,,,4,5,,4,,,,4,2,,,,5,,,,,5,,4,40|28|21|38|9|33|29|24|22|18,21,2,2,,,,,,,,,3,,,,,,,,,2,,,1,3,,4,,,,2,5,,,,2,,,,,4,,1,40|28|21|38|9|33|29|24|22|18,1,"1,4,10",4,5
96,2022-10-18 16:54:27,2022-10-18 16:56:17,100,109,2022-10-18 16:56:18,R_2tsCE62RWhU76JO,,,,,5,,,,,5,,5,,,,,,3,,,3,,,,,,,,,,5,5,,1,1,,4,,,,34|35|21|5|37|18|31|12|32|10,19,1,2,,,,,4,,,,,5,,5,,,,,,4,,,2,,,,,,,,,,5,4,,1,2,,2,,,,34|35|21|5|37|18|31|12|32|10,1,"1,2,9",4,5
97,2022-10-18 16:58:36,2022-10-18 17:00:12,100,96,2022-10-18 17:00:12,R_2c78bTXIZdhKx48,,,,,5,,,,,,,2,,,,3,,,,5,,,,4,,,4,,,5,,,5,,2,,,,2,,30|33|5|20|24|12|16|27|35|39,19,2,2,,,,,5,,,,,,,4,,,,4,,,,5,,,,5,,,4,,,5,,,5,,3,,,,3,,30|33|5|20|24|12|16|27|35|39,2,"1,2,8",2,5
98,2022-10-18 17:00:06,2022-10-18 17:02:08,100,121,2022-10-18 17:02:08,R_8IE1VefIE6Vu9TH,4,,,,,,,,,,5,2,,4,,5,,2,,,,,,5,5,,,,3,,,,,,1,,,,,,14|18|25|11|1|24|16|29|12|35,19,2,2,1,,,,,,,,,,2,1,,1,,5,,2,,,,,,5,1,,,,5,,,,,,1,,,,,,14|18|25|11|1|24|16|29|12|35,3,"2,6,8",2,5
99,2022-10-11 16:32:16,2022-10-11 17:04:53,85,1956,2022-10-18 17:04:53,R_2ZCDx47qY9qDVxd,5,,,,5,,,,,,,2,1,,,5,4,,5,,5,,,,5,,,,,,,,,,,,,,,5,17|16|25|21|1|12|19|40|13|5,18,2,3,4,,,,1,,,,,,,2,1,,,4,4,,4,,4,,,,4,,,,,,,,,,,,,,,2,17|16|25|21|1|12|19|40|13|5,3,"1,2,4",4,"4,5"
100,2022-10-18 17:03:25,2022-10-18 17:05:08,100,102,2022-10-18 17:05:08,R_2dmxKQZbWaDn8ea,,,,2,,,2,4,,,,,,,,4,,,,,,,2,,2,4,,,,,4,,,,,,4,4,,,31|25|23|4|38|7|37|8|16|26,30,2,2,,,,3,,,3,4,,,,,,,,4,,,,,,,3,,1,4,,,,,4,,,,,,2,4,,,31|25|23|4|38|7|37|8|16|26,3,"1,4,7",2,5
101,2022-10-18 17:05:50,2022-10-18 17:07:43,100,112,2022-10-18 17:07:43,R_3kpGdSY2jelxyGy,,2,,,,,,,4,3,,,,,,,3,,4,,,4,,,,3,,,4,,,,,,4,,,,,5,9|40|10|17|2|26|35|22|29|19,20,1,2,,1,,,,,,,3,3,,,,,,,3,,2,,,2,,,,4,,,5,,,,,,4,,,,,2,9|40|10|17|2|26|35|22|29|19,3,"1,4,8",4,"1,4,5"
102,2022-10-11 16:32:13,2022-10-11 17:08:11,85,2158,2022-10-18 17:08:12,R_234ydjMz092EKBM,4,,,,4,,2,,,,,,,4,4,4,,,,4,,,,,,,,,2,,,,4,,,4,,,,,1|14|20|5|16|7|29|36|33|15,21,2,3,3,,,,3,,2,,,,,,,3,3,3,,,,4,,,,,,,,,2,,,,3,,,3,,,,,1|14|20|5|16|7|29|36|33|15,4,"2,4,5,9",2,"1,5"
103,2022-10-18 17:07:47,2022-10-18 17:10:13,100,146,2022-10-18 17:10:14,R_28zwImBjU4lIzzg,,2,,,,,,2,,,,,,,,,,,,,1,,2,4,4,3,,,3,2,,,,,3,,,,,,30|24|2|29|8|35|26|25|23|21,20,1,2,,2,,,,,,3,,,,,,,,,,,,,2,,2,3,2,4,,,4,4,,,,,3,,,,,,30|24|2|29|8|35|26|25|23|21,3,"1,4,8,10",4,"1,4,5"
104,2022-10-11 16:32:15,2022-10-11 17:20:08,85,2873,2022-10-18 17:20:10,R_ueONxAiSbgzMWxH,,,,2,,,,4,,,,4,,,4,,3,,,,,,2,,,,5,,,,,5,5,,,,,,,5,12|40|33|23|32|27|17|8|4|15,21,1,1,,,,4,,,,4,,,,2,,,2,,1,,,,,,1,,,,2,,,,,2,2,,,,,,,2,12|40|33|23|32|27|17|8|4|15,1,"6,10",5,"4,5"
105,2022-10-19 13:51:24,2022-10-19 13:53:00,100,95,2022-10-19 13:53:01,R_4Yl4ItJ3LXyuBIR,,2,3,,,,5,,,,,,,,5,,,,2,,,,,,,,,,,,5,5,5,,3,,,5,,,33|32|3|31|35|2|15|7|19|38,21,1,2,,1,1,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,,1,,,1,,,33|32|3|31|35|2|15|7|19|38,3,"1,4,10",2,5
106,2022-10-19 16:31:40,2022-10-19 16:32:39,100,59,2022-10-19 16:32:40,R_808XezPmK9ARQrL,,1,1,,,,1,1,,,,,1,1,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,,32|13|3|28|7|25|14|8|23|2,21,2,3,,3,2,,,,2,3,,,,,2,2,,,,,,,,,2,,2,,,2,,,,2,,,,,,,,,32|13|3|28|7|25|14|8|23|2,2,"1,4",4,5
107,2022-10-19 16:31:29,2022-10-19 16:32:43,100,74,2022-10-19 16:32:43,R_8dnMXq7gZZzRNDz,,,5,1,,,4,,,5,,,,,,5,,,,,3,,,4,,,,,,,,,5,,3,,2,,,,10|4|21|37|33|24|35|16|7|3,20,1,1,,,1,4,,,2,,,1,,,,,,1,,,,,1,,,1,,,,,,,,,1,,4,,2,,,,10|4|21|37|33|24|35|16|7|3,4,"2,4,6",4,4
108,2022-10-19 16:31:33,2022-10-19 16:33:00,100,87,2022-10-19 16:33:01,R_31vJaqwVEgY7a7I,,,,,,,,,,,,,,2,,,2,,,,,5,,4,,,,5,,3,,5,,2,,,,,5,2,17|24|14|40|30|22|28|39|32|34,20,1,2,,,,,,,,,,,,,,2,,,2,,,,,3,,2,,,,4,,2,,4,,1,,,,,2,3,17|24|14|40|30|22|28|39|32|34,2,"1,2,4,6",4,"4,5"
109,2022-10-19 16:31:37,2022-10-19 16:33:03,100,86,2022-10-19 16:33:04,R_3ff9Eo9Lhd9K5zD,,,,1,5,,,2,2,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,4,5,1,3,4|39|21|5|38|8|9|40|23|37,20,2,2,,,,1,3,,,3,3,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,3,5,1,3,4|39|21|5|38|8|9|40|23|37,3,"1,3,4,8",2,5
110,2022-10-19 16:31:27,2022-10-19 16:33:16,100,109,2022-10-19 16:33:17,R_1Kv62V0i3bw3xET,,1,,,,,3,,2,,,,,,,,,,4,,3,,2,,,4,5,,2,,,,,,,4,,,,,19|26|7|23|27|21|29|36|2|9,21,1,2,,3,,,,,3,,3,,,,,,,,,,3,,3,,3,,,3,3,,3,,,,,,,3,,,,,19|26|7|23|27|21|29|36|2|9,4,"1,4,10",1,5
111,2022-10-19 16:31:35,2022-10-19 16:33:19,100,103,2022-10-19 16:33:19,R_OjQjLHDVOPFrP1v,,,4,,,5,,2,,,5,,,2,,,,,,,,,2,,4,3,,,,,5,,5,,,,,,,,11|26|6|25|23|14|31|8|33|3,20,1,2,,,3,,,4,,4,,,5,,,4,,,,,,,,,1,,2,1,,,,,4,,3,,,,,,,,11|26|6|25|23|14|31|8|33|3,2,"1,7,10",2,5
112,2022-10-19 16:31:53,2022-10-19 16:33:50,100,116,2022-10-19 16:33:50,R_3p5YlXixe8fwBOY,,,,,5,5,,,,,,,,2,3,,1,,5,5,,,1,4,,,5,,,,,,,,,,,,,,23|14|5|20|19|24|15|17|6|27,19,2,2,,,,,3,3,,,,,,,,1,5,,1,,1,5,,,1,4,,,2,,,,,,,,,,,,,,23|14|5|20|19|24|15|17|6|27,4,"1,10",2,4
113,2022-10-19 16:31:36,2022-10-19 16:33:51,100,135,2022-10-19 16:33:52,R_2OMzCHxmKEepkZ5,,,3,,,,,,2,,4,,,,3,,,2,,,,,,,,,4,,,,5,,5,,,5,,,1,,11|18|15|27|33|9|3|31|39|36,20,1,2,,,3,,,,,,4,,2,,,,2,,,4,,,,,,,,,3,,,,2,,1,,,1,,,1,,11|18|15|27|33|9|3|31|39|36,4,10,1,5
114,2022-10-19 16:31:37,2022-10-19 16:34:01,100,144,2022-10-19 16:34:02,R_3EGzC1BLF9Kcv7j,,,,,,,,,,2,,,,,,,1,2,4,,,5,,,,3,,,,4,,,5,2,,,2,,,,10|30|37|34|19|17|18|26|33|22,20,1,3,,,,,,,,,,1,,,,,,,1,3,3,,,2,,,,3,,,,1,,,3,2,,,4,,,,10|30|37|34|19|17|18|26|33|22,3,"1,4,8",2,5
115,2022-10-19 16:31:38,2022-10-19 16:34:25,100,166,2022-10-19 16:34:25,R_sditctDtzwoF0RP,,,,,5,,,,3,,,,,3,,,,,,,,5,,,,,5,4,,,,,,3,,4,1,,1,,36|27|9|37|39|22|34|28|5|14,20,1,2,,,,,2,,,,2,,,,,1,,,,,,,,2,,,,,2,4,,,,,,1,,1,4,,1,,36|27|9|37|39|22|34|28|5|14,1,"1,2,4,10",2,5
116,2022-10-19 16:32:50,2022-10-19 16:35:14,100,143,2022-10-19 16:35:14,R_2OGAU7raj31WAIl,,,,,4,,,,,4,,2,,,,,2,,,,,3,,,,5,,,,,4,,3,,3,,4,,,,5|35|33|37|31|17|12|22|10|26,22,1,3,,,,,3,,,,,2,,2,,,,,3,,,,,1,,,,3,,,,,2,,3,,3,,5,,,,5|35|33|37|31|17|12|22|10|26,3,4,2,4
117,2022-10-19 16:32:03,2022-10-19 16:35:25,100,201,2022-10-19 16:35:25,R_3nNITjykA3amAQ3,,,5,,,,,2,,,,,2,,,5,,2,,,,,,4,,3,5,,,,,,,2,,,,5,,,13|34|16|3|26|18|38|27|24|8,20,2,2,,,4,,,,,3,,,,,1,,,4,,3,,,,,,4,,4,4,,,,,,,1,,,,4,,,13|34|16|3|26|18|38|27|24|8,4,"1,4,8",2,"2,5"
118,2022-10-12 16:46:13,2022-10-12 16:47:35,85,82,2022-10-19 16:47:36,R_zes1ZKAk2aZ2uVX,,,,,,,,,,,,1,2,5,,,,,,4,,,4,,,,,4,,3,3,,2,,,,4,,,,13|23|31|20|33|37|30|28|12|14,19,2,3,,,,,,,,,,,,3,2,4,,,,,,4,,,3,,,,,4,,3,2,,3,,,,4,,,,13|23|31|20|33|37|30|28|12|14,5,10,4,"1,4"
119,2022-10-12 16:48:10,2022-10-12 16:49:57,85,106,2022-10-19 16:50:01,R_DwaAsqsggwI5nzj,4,3,,4,,3,,,,4,,,,,,,,4,,,,,,,,2,3,,3,3,,,,,,,,,,,27|10|6|2|29|18|4|26|30|1,22,1,3,2,4,,3,,4,,,,2,,,,,,,,2,,,,,,,,3,2,,4,3,,,,,,,,,,,27|10|6|2|29|18|4|26|30|1,5,"3,5,10",1,5
120,2022-10-12 16:49:14,2022-10-12 16:51:33,85,138,2022-10-19 16:51:39,R_2Y4CFkFs00UhxXv,,,,,,,,,,,,2,,,,,1,1,4,,3,,,4,,3,3,,,,5,,,,2,,,,,,24|19|35|26|31|21|27|17|12|18,22,1,1,,,,,,,,,,,,2,,,,,3,4,1,,1,,,1,,1,1,,,,1,,,,2,,,,,,24|19|35|26|31|21|27|17|12|18,3,"1,2,10",1,6
121,2022-10-12 16:45:55,2022-10-12 16:54:36,85,521,2022-10-19 16:54:40,R_3G9wam5TLHRAmgF,5,2,,,,,,,,,,,3,3,5,5,,,,,4,,,,,,,,,,,,,3,,,,,1,5,39|1|21|14|40|13|15|34|2|16,23,1,2,2,1,,,,,,,,,,,1,1,3,4,,,,,1,,,,,,,,,,,,,2,,,,,1,3,39|1|21|14|40|13|15|34|2|16,3,"1,2,4",4,"4,5"
122,2022-10-12 16:52:21,2022-10-12 17:03:53,85,691,2022-10-19 17:03:57,R_3PAaN5iLbnWHQPz,,,,,,,,,2,,,,,,,,,,,4,4,,,2,,,4,4,,2,4,,,4,,,2,,,,20|31|28|21|37|9|30|34|27|24,18,2,2,,,,,,,,,4,,,,,,,,,,,5,4,,,5,,,4,4,,1,3,,,1,,,4,,,,20|31|28|21|37|9|30|34|27|24,4,"1,4,8",4,5
123,2022-10-12 16:46:38,2022-10-12 17:04:27,85,1069,2022-10-19 17:04:33,R_dg37SECdCwfr9WV,4,,3,,,,,,4,,,,,,3,,,,,4,,,2,,,,,,,,4,,,1,,4,,,1,,36|31|20|34|15|3|9|23|1|39,20,1,2,2,,2,,,,,,2,,,,,,2,,,,,3,,,2,,,,,,,,3,,,1,,4,,,2,,36|31|20|34|15|3|9|23|1|39,5,"1,2,8",1,5
124,2022-10-12 16:47:45,2022-10-12 17:28:23,85,2437,2022-10-19 17:28:23,R_2v1bh6LPDSbT0KM,5,,,,,5,,,5,,,,1,,5,,1,,,,,,,,,,5,5,,5,5,,,,,,,,,,13|9|17|28|1|6|27|30|31|15,19,1,2,1,,,,,3,,,5,,,,1,,4,,1,,,,,,,,,,2,5,,2,2,,,,,,,,,,13|9|17|28|1|6|27|30|31|15,2,"1,2,7,8",3,5
125,2022-10-13 16:41:24,2022-10-13 16:46:22,85,298,2022-10-20 16:46:24,R_2qpZm0wemI8Tn1w,,,3,,,3,,3,4,,2,,,,,,,,,,,,2,,,,,,,,2,,,,,3,,,3,4,9|3|40|39|6|11|23|8|36|31,20,1,1,,,4,,,4,,4,3,,3,,,,,,,,,,,,4,,,,,,,,4,,,,,3,,,3,3,9|3|40|39|6|11|23|8|36|31,2,"4,10",4,"1,2,5"
126,2022-10-20 16:44:59,2022-10-20 16:46:49,100,109,2022-10-20 16:46:49,R_9pEwh4IA07pmgtX,,,4,,,5,,2,,4,,,2,4,,,,,,5,,,,,,,,,,,,,,2,,5,4,,,,37|13|36|20|6|3|34|10|14|8,22,1,3,,,3,,,2,,4,,2,,,2,1,,,,,,5,,,,,,,,,,,,,,2,,2,4,,,,37|13|36|20|6|3|34|10|14|8,4,"5,6,8",2,4
127,2022-10-20 16:45:34,2022-10-20 16:47:14,100,100,2022-10-20 16:47:14,R_7NXbGqe92Wq6NDr,5,,,,,,,,4,4,5,,,,,4,1,,,,,,4,,,,,,,,,4,,,,5,,,2,,11|9|16|10|17|32|23|39|1|36,21,2,2,3,,,,,,,,5,4,4,,,,,4,3,,,,,,3,,,,,,,,,4,,,,5,,,2,,11|9|16|10|17|32|23|39|1|36,3,"1,7,8",1,5
128,2022-10-13 16:48:10,2022-10-13 16:49:06,85,55,2022-10-20 16:49:11,R_1GCzWe0aLTNoMA3,,,,,5,,,,3,,,,,,3,,,3,,,,,4,,,,,,,3,5,,4,4,5,,,,,,33|31|5|23|35|30|34|15|18|9,21,1,2,,,,,2,,,,2,,,,,,2,,,2,,,,,3,,,,,,,3,1,,3,3,2,,,,,,33|31|5|23|35|30|34|15|18|9,2,"4,5",4,2
129,2022-10-20 16:52:00,2022-10-20 16:54:21,100,141,2022-10-20 16:54:22,R_2dHo8rxZC2hA7DP,4,,,,,5,,,,4,,3,,,,,3,,,4,,3,,2,2,,,,,,,,,2,,,,,,,25|22|1|6|12|20|24|34|10|17,22,1,3,3,,,,,3,,,,4,,3,,,,,3,,,4,,3,,4,3,,,,,,,,,3,,,,,,,25|22|1|6|12|20|24|34|10|17,1,"1,4,7",3,"4,5"
130,2022-10-13 16:52:58,2022-10-13 16:54:26,85,87,2022-10-20 16:54:27,R_viR7XQoYQpSDiG5,5,,,,5,,,,,5,,,,,,,1,,,,5,,,4,,4,,,,5,,,,,3,,,,1,,39|30|24|26|17|1|35|5|10|21,20,1,2,2,,,,3,,,,,3,,,,,,,4,,,,2,,,4,,3,,,,3,,,,,3,,,,2,,39|30|24|26|17|1|35|5|10|21,3,"1,2,4",2,5
131,2022-10-13 16:59:33,2022-10-13 17:01:22,85,109,2022-10-20 17:01:28,R_1d62yD16ztlnvfn,,,,,,,,,3,,,,3,,3,,,2,,,,5,2,,,,,3,,,,4,,,,,3,4,,,38|23|28|32|18|37|9|22|13|15,19,2,3,,,,,,,,,3,,,,3,,4,,,3,,,,3,4,,,,,4,,,,4,,,,,4,4,,,38|23|28|32|18|37|9|22|13|15,4,"1,2,10",5,"4,5"
132,2022-10-13 16:52:15,2022-10-13 17:02:46,85,630,2022-10-20 17:02:50,R_3mjDfW3FIug0qQs,5,,,,5,,,,,,,,4,5,,,2,,,,,5,,,,3,,,,,,,5,,3,,4,,,,26|13|5|37|22|14|33|1|17|35,21,1,2,5,,,,5,,,,,,,,5,5,,,5,,,,,5,,,,5,,,,,,,5,,4,,5,,,,26|13|5|37|22|14|33|1|17|35,3,"1,2,10",2,5
133,2022-10-13 16:50:50,2022-10-13 17:03:27,85,757,2022-10-20 17:03:31,R_vx0fj9w3wdrLAsh,5,,,,,,,,,,5,,,3,,5,1,,,,3,,5,,,4,,,,,,,,1,,5,,,,,21|16|14|11|23|36|1|34|26|17,19,1,2,1,,,,,,,,,,5,,,1,,5,1,,,,1,,5,,,2,,,,,,,,1,,5,,,,,21|16|14|11|23|36|1|34|26|17,3,"1,8",1,5
134,2022-10-13 16:58:11,2022-10-13 17:11:19,85,788,2022-10-20 17:11:20,R_2QrqG5FXi7asnqH,,,4,,,5,2,,,,,,3,,,,,,,5,,5,2,,,,,,,4,,,,,,,2,,,3,23|13|7|22|30|6|20|3|40|37,20,2,2,,,4,,,4,3,,,,,,1,,,,,,,5,,4,3,,,,,,,4,,,,,,,3,,,3,23|13|7|22|30|6|20|3|40|37,3,"1,4,10",4,"4,5"
135,2022-10-13 17:11:39,2022-10-13 17:12:49,85,70,2022-10-20 17:12:53,R_1H79vj00iIiCE4a,,,,3,,,3,,3,,,,,3,3,,,,,5,,,3,,3,,,,,5,,,,2,,,,,,,15|30|7|23|20|34|4|9|14|25,20,1,2,,,,3,,,1,,1,,,,,1,1,,,,,1,,,1,,1,,,,,1,,,,1,,,,,,,15|30|7|23|20|34|4|9|14|25,5,"1,8",1,5
136,2022-10-13 17:01:43,2022-10-13 17:14:29,85,765,2022-10-20 17:14:33,R_2bUWU9jK1aTA8oV,,,,,,5,,,4,4,,,,,,5,,,4,,3,5,,4,,,,,,,,5,,,,,,,,5,9|40|10|24|19|6|32|22|16|21,19,2,2,,,,,,3,,,3,2,,,,,,5,,,1,,1,4,,3,,,,,,,,5,,,,,,,,4,9|40|10|24|19|6|32|22|16|21,5,"1,2,8",3,4
137,2022-10-13 17:00:44,2022-10-13 17:15:25,85,880,2022-10-20 17:15:26,R_1nWb1TJRMbwdQsp,,,,,,5,3,,,4,5,,,3,,,,,,,,,,,5,,,,,,5,,,2,,5,5,,,,6|14|7|25|36|37|31|34|10|11,20,2,2,,,,,,4,2,,,3,5,,,1,,,,,,,,,,,2,,,,,,1,,,1,,5,3,,,,6|14|7|25|36|37|31|34|10|11,4,"1,4,9",4,5
138,2022-10-13 16:57:31,2022-10-13 17:17:40,85,1209,2022-10-20 17:17:49,R_2PBU1qECPI0aSfE,5,,,2,5,,,,,,,,3,3,,,2,,5,,3,,3,,,,,,,,,,,,,5,,,,,36|4|19|1|5|23|14|21|13|17,20,2,2,5,,,3,5,,,,,,,,5,2,,,2,,5,,5,,5,,,,,,,,,,,,,5,,,,,36|4|19|1|5|23|14|21|13|17,3,"1,2,4",4,5
139,2022-10-14 16:32:47,2022-10-14 16:34:15,85,88,2022-10-21 16:34:19,R_u9Zugfh4vzJlpaF,5,,,,,,,,,,,,2,,,,3,,,4,,5,,,,4,,,,,5,4,,,,,,5,,5,22|17|40|26|1|38|20|13|32|31,21,1,2,5,,,,,,,,,,,,5,,,,2,,,5,,5,,,,5,,,,,5,4,,,,,,5,,4,22|17|40|26|1|38|20|13|32|31,1,"1,4,8,9",4,4
140,2022-10-14 16:36:39,2022-10-14 16:39:31,85,171,2022-10-21 16:39:35,R_d4ZTkw6w6On3XFf,,,,3,,,,4,4,,5,,3,4,,,,3,,,,,,5,,,,4,,,,,,,,,,,,4,9|8|18|11|24|14|40|28|13|4,21,1,3,,,,2,,,,2,2,,2,,2,2,,,,2,,,,,,2,,,,2,,,,,,,,,,,,2,9|8|18|11|24|14|40|28|13|4,1,"1,2,3,4,5,6,7,8,10",4,5
141,2022-10-21 16:49:58,2022-10-21 16:51:19,100,81,2022-10-21 16:51:20,R_3LaUCWmQN25AJDr,,,,3,,,,,3,,,1,3,,,4,,,,,,3,3,3,3,,3,,,,,,,,,,,,,,23|25|27|22|13|24|4|9|12|16,20,2,3,,,,4,,,,,2,,,2,3,,,5,,,,,,3,1,3,3,,3,,,,,,,,,,,,,,23|25|27|22|13|24|4|9|12|16,5,"1,4,5",4,5
142,2022-10-21 16:50:09,2022-10-21 16:52:04,100,115,2022-10-21 16:52:04,R_1BPYwjLRXgrzyQm,,3,,3,,4,3,,,,5,,,,,,,,,,,5,,,4,,,,,,,4,,,,,3,,,4,22|32|37|40|25|6|4|2|11|7,20,2,2,,1,,3,,2,5,,,,4,,,,,,,,,,,3,,,1,,,,,,,4,,,,,3,,,2,22|32|37|40|25|6|4|2|11|7,2,"1,4",4,5
143,2022-10-21 16:53:40,2022-10-21 16:56:19,100,159,2022-10-21 16:56:20,R_2UbdxKUq7tSDP9L,4,,,1,,,,,,,5,,,,,,,,3,,,5,,,,,,,3,,,4,,2,2,,,4,,,11|22|32|35|38|34|19|4|29|1,20,1,2,4,,,1,,,,,,,5,,,,,,,,2,,,4,,,,,,,4,,,5,,2,4,,,5,,,11|22|32|35|38|34|19|4|29|1,2,"2,7",3,"1,2,4,5"
144,2022-10-21 16:57:20,2022-10-21 16:59:30,100,130,2022-10-21 16:59:31,R_3HTtAo5K9TzasT4,,,4,,,,,,3,,5,2,,,,,,2,,,4,,,4,,,5,4,,,,,,,,,,,,3,21|28|18|9|3|24|27|12|11|40,22,1,1,,,3,,,,,,1,,1,1,,,,,,4,,,1,,,2,,,3,4,,,,,,,,,,,,3,21|28|18|9|3|24|27|12|11|40,3,"1,4,6",2,"1,3,4,5"
145,2022-10-21 16:59:04,2022-10-21 17:01:07,100,123,2022-10-21 17:01:07,R_3HXOLCxiXZxJbLj,,,,,,,,,,5,5,4,,,5,5,,,2,,,5,,,,,,,,,,5,,,,,,4,,3,12|16|11|22|15|40|10|19|38|32,20,1,2,,,,,,,,,,3,3,1,,,3,3,,,3,,,1,,,,,,,,,,3,,,,,,3,,1,12|16|11|22|15|40|10|19|38|32,1,"1,4,10",4,1
146,2022-10-21 17:01:05,2022-10-21 17:02:59,100,114,2022-10-21 17:03:00,R_2Crf14aEgMNvioV,,1,,1,5,5,,,,5,,,,,,,,,,,5,,,,,,,,,5,,,,,5,,,5,4,,21|39|10|38|35|30|4|5|6|2,21,1,2,,1,,3,1,3,,,,3,,,,,,,,,,,1,,,,,,,,,1,,,,,5,,,4,2,,21|39|10|38|35|30|4|5|6|2,3,"1,2,4",5,"4,5"
147,2022-10-21 17:02:39,2022-10-21 17:04:36,100,117,2022-10-21 17:04:37,R_3dQegcV7R0IG2Ml,,2,,,5,,,,4,5,,,3,,5,,,,,,,,,,,,,,4,,5,,,1,,5,,,,,10|36|29|5|9|2|15|31|13|34,20,1,3,,1,,,1,,,,3,2,,,3,,3,,,,,,,,,,,,,,2,,1,,,1,,3,,,,,10|36|29|5|9|2|15|31|13|34,4,"1,4",3,"4,5"
